Tidsstempel;Køn ;Alder;1. Hvad føler du omkring upcyclet tøj?;2. Har du købt upcyclet tøj før? - hvis du har, hvordan var din oplevelse?;3. Hvad vil motivere dig til at købe upcyclet tøj?;4.   Hvad forhindrer dig i at købe upcyclet tøj?;5. Hvor køber du typisk dit tøj henne?;6. Hvad vil du føle hvis du så upcyclet tøj i en normal fysisk/online tøjbutik?;7. Hvilke farver og følelser forbinder du med upcycling.;8. Hvilket indtryk giver Patagonia hjemmesiden dig i forhold til branding - hvad havde du forventet?;9.  Hvad føler du når du ser hjemmesiden for Patagonia (Worn Wear Recrafted)? Hvad er godt/dårligt?;10.  Har du hørt om UPCY før i dag? Hvorfra?;11. Hvad fortæller UPCY hjemmesiden i forhold til branding? - hvad havde du forventet?;12.  Hvad føler du når du ser hjemmesiden for UPCY? Hvad er godt/dårligt? Hvad kan forbedres?;13.  Kender du nogen der køber upcyclet tøj? - kan vi få deres kontaktinformation?;14. Kender du i forvejen brands der upcycler? hvis ja hvilke?;15. Hvor meget ville du betale for denne skjorte og jakke?;UPCY - skjorte lavet af kasserede duge.
11/18/2022 18.12.00;Mand;22;Det virker til at være en god ide. ;Nej;Kvaliteten er lige så god/bedre end andre muligheder ;Lavt udbud ;Valgmulighed 1;Ville ikke købe det, men det generer mig ikke;;;Det er et klart klima budskab, men det er svært at tror på, at deres produkter er “bedre”;Nej;;Bedre end den første hjemmeside;Nej;;;
11/18/2022 18.13.03;Kvinde;22;Jeg synes, at det er et mega fedt initiativ, som er godt både for miljøet men også fremtiden. ;Jeg mindes at have købt upcyclet tøj før;Helt klart at det er godt for miljøet;Hvis der var noget der skulle forhindre mig, er det at det er dyrt;Valgmulighed 1;Det ville ærligt bare gøre mig glad;;;For mig personligt, føler jeg at hjemmesiden har et godt design, men at det virker lidt forvirrende;Desværre ikke;;Et meget stilrent design;Desværre ikke;;;
11/18/2022 18.29.53;Mand;22;Et nødvendigt tiltag, men i den rigtige retning;Nej, men har købt meget genbrugstøj;Trends, pris og kvalitet;Føler ikke der er nok eksponering af upcyclet tøj, samt frygt for at kvaliteten afviger;Genbrugsbutikker eller online (Zalando, Zara etc.);Det har ikke mere værdi for mig end andet tøj;;;Første indtryk forbinder jeg det ikke med tøj før et nærmere kig;Nej;;Stilrent, valg af skrifttype kan være bedre;Nej;;;
11/18/2022 18.31.47;Mand;24;Jeg er ligeglad;Nej;Intet, måske hvis der var en økonomisk gevinst - produktet er billigere etc. ;Produkterne er ofte dyre, eller grimme. ;På asos, zalando og andre netbutikker. ;Ville nok kigge en ekstra gang, dog af ren nysgerrighed og ikke en træng til at købe. ;;;Lidt cool, virker godt til branded. ;Nej;;Meget kedeligt, mangler flere farver.. ;Nope;;;
11/18/2022 18.38.19;Mand;24;Ingenting;Nej;Prisen;Ingenting;Dansk Outlet;Ingenting;;;Ingenting;Nej;;Ingenting;Nej;;;
11/18/2022 18.45.55;Mand;24;lidt underligt;tror jeg ikke jeg har;det har et spændende design;at jeg ikke køber tøj særlig tit;Amazon;fin nok, det er et spændende koncept;;;deres design er lidt wacky og deres navn / logo får det til at lyde som noget negativt;nej;;det ligner ikke et sted hvad ville sælge noget, minder mere om en opslagstavle;Køber nok ikke nogen;;;
11/18/2022 18.46.07;Kvinde;21;Har ingen problem med det syntes det er en god ide;Nej det tror jeg ikke;Det handler bare om det er flot eller ej og self prisen da miljø venlig kan være dyrt;Pris og uddsende;H&m, online steder;Ingen problem;;;Ville ikke trykke på den eller kigge vider da det ligner en surfer side men design messing godt;Nej;;Bedre end den første lidt kedelig men har kun set det på billedet ellers design godt;Nej det gør jeg ikke;;;
11/18/2022 18.48.15;Mand;20,5;Det er meget cool, både design mæssigt, men også at det gavner miljøet ;Nej;Hvis det er forholdsvis billigt;Penge, SU du ved;Køber typisk ikke tøj, men hvis jeg gør så online på mine y-mærkers hjemmeside;Det burde være mere normalt ;;;Det er sku en grim hjemmeside og grimt logo;Nope;;Det er meget fedt;Nej;;;
11/18/2022 18.58.32;Mand;22;Rigtig god ide. Men vil selvfølgelig helst det ligner/føles som normalt tøj;Ikke så vidt jeg ved;At det er lige så udbredt som alm. tøj, eller det er tydeligt i butikkerne. Prisen skal helst være det samme som alm. tøj;Ikke noget, går ikke specifik efter det;H&M, Jack & Jones, Shaping New Tomorrow, tøjbutikker ;At det er godt der er nogle der prøver at genanvende ellers ubrugeligt materiale.;;;"Ikke noget specielt. Ved ikke om jeg tror på ""better than new"", men ellers ser den meget simpel ud.";nej;;Virker som om de går lidt mere op i hele ideen om at genanvnde/upcycle. Men ellers ser den lidt kedelig ud, så måske nogle flere produkter og links/knapper.;tror jeg ikke;;;
11/18/2022 19.10.14;Kvinde;19;Synes det er en smart måde at genbruge på;Ikke hvad jeg ved af;Miljø, priser og markedsføring;Rådighed og priser;Lokale butikker eller store onlinefirmaer feks zalando eller boozt;Det ville da være en god ting at det blev mere normaliseret og udbredt;;;Altså det de skriver giver god mening - det gør billedet til gengæld overhovedet ikke. Og så udstråler det ikke ligefrem noget luksus;Nej;;Det ser meget stilrent ud, professionelt. Meget informerende fra starten af. Ved ikke hvad der kan forbedres   ;Desværre ikke;;;
